Date,Time,Left,Right
02/11/2013,12:30:00,0.306821565,0.461232187
02/11/2013,12:35:00,0.299800289,0.461203473
02/11/2013,12:40:00,0.290825709,0.452084566
02/11/2013,12:45:00,0.29355366,0.447179249
02/11/2013,12:50:00,0.314111387,0.467580461
02/11/2013,12:55:00,0.315668442,0.485726879
02/11/2013,13:00:00,0.294902224,0.499035333
02/11/2013,13:05:00,0.308393288,0.503536362
02/11/2013,13:10:00,0.304840007,0.52222481
02/11/2013,13:15:00,0.325459505,0.531986485
02/11/2013,13:20:00,0.326838741,0.543467911
02/11/2013,13:25:00,0.350291259,0.540249707
02/11/2013,13:30:00,0.351843319,0.535957219
02/11/2013,13:35:00,0.354788127,0.543712443
02/11/2013,13:40:00,0.372737848,0.528058144
02/11/2013,13:45:00,0.389114213,0.531457824
02/11/2013,13:50:00,0.379435801,0.536115925
02/11/2013,13:55:00,0.374192973,0.487475175
02/11/2013,14:00:00,0.362063013,0.525644952
02/11/2013,14:05:00,0.344463956,0.495652551
02/11/2013,14:10:00,0.358701795,0.480593029
02/11/2013,14:15:00,0.362662115,0.463243454
02/11/2013,14:20:00,0.361545162,0.455862491
02/11/2013,14:25:00,0.36746801,0.443748436
02/11/2013,14:30:00,0.363536773,0.470007323
02/11/2013,14:35:00,0.376694462,0.446983803
02/11/2013,14:40:00,0.368230604,0.439834005
02/11/2013,14:45:00,0.362891677,0.438835216
02/11/2013,14:50:00,0.376002404,0.432040712
02/11/2013,14:55:00,0.368101848,0.45373399
02/11/2013,15:00:00,0.381277437,0.446773685
02/11/2013,15:05:00,0.363006846,0.449234016
02/11/2013,15:10:00,0.353487181,0.449806059
02/11/2013,15:15:00,0.324656218,0.430676275
02/11/2013,15:20:00,0.321585853,0.431649865
02/11/2013,15:25:00,0.342662195,0.416410762
02/11/2013,15:30:00,0.334055493,0.427497681
02/11/2013,15:35:00,0.333876823,0.418638218
02/11/2013,15:40:00,0.325110164,0.41739835
02/11/2013,15:45:00,0.343699978,0.412728506
02/11/2013,15:50:00,0.348144186,0.435363855
02/11/2013,15:55:00,0.346611871,0.397909174
02/11/2013,16:00:00,0.349908496,0.396385061
02/11/2013,16:05:00,0.337609079,0.373718101
02/11/2013,16:10:00,0.307982086,0.374774641
02/11/2013,16:15:00,0.294973078,0.36967351
02/11/2013,16:20:00,0.273675879,0.360831811
02/11/2013,16:25:00,0.289177296,0.323526385
02/11/2013,16:30:00,0.282045274,0.337892715
02/11/2013,16:35:00,0.288781962,0.339144565
02/11/2013,16:40:00,0.277018725,0.345701258
02/11/2013,16:45:00,0.300495858,0.341380458
02/11/2013,16:50:00,0.296838319,0.347334329
02/11/2013,16:55:00,0.275266877,0.363461858
02/11/2013,17:00:00,0.276820853,0.383508377
02/11/2013,17:05:00,0.305917638,0.412175553
02/11/2013,17:10:00,0.324586087,0.43614446
02/11/2013,17:15:00,0.338371612,0.450147442
02/11/2013,17:20:00,0.323875448,0.461487535
02/11/2013,17:25:00,0.35910239,0.438975795
02/11/2013,17:30:00,0.319720689,0.445969041
02/11/2013,17:35:00,0.296794438,0.434376763
02/11/2013,17:40:00,0.288668576,0.422694841
02/11/2013,17:45:00,0.253175627,0.44317461
02/11/2013,17:50:00,0.273389565,0.455705301
02/11/2013,17:55:00,0.310789689,0.44090345
02/11/2013,18:00:00,0.344647715,0.420363567
02/11/2013,18:05:00,0.366280195,0.436103914
02/11/2013,18:10:00,0.332565701,0.445768246
02/11/2013,18:15:00,0.320001661,0.464064313
02/11/2013,18:20:00,0.321505196,0.44974498
02/11/2013,18:25:00,0.319300213,0.459888718
02/11/2013,18:30:00,0.324181334,0.457068981
02/11/2013,18:35:00,0.304948229,0.457701607
02/11/2013,18:40:00,0.300689133,0.453705207
02/11/2013,18:45:00,0.315944864,0.429299252
02/11/2013,18:50:00,0.31576714,0.415288697
02/11/2013,18:55:00,0.334833149,0.413595558
02/11/2013,19:00:00,0.330218782,0.42201556
02/11/2013,19:05:00,0.332600427,0.408787326
02/11/2013,19:10:00,0.333628629,0.417025625
02/11/2013,19:15:00,0.314675788,0.431822592
02/11/2013,19:20:00,0.315575965,0.438090846
02/11/2013,19:25:00,0.333329199,0.432115437
02/11/2013,19:30:00,0.36492974,0.432311584
02/11/2013,19:35:00,0.372088589,0.449280253
02/11/2013,19:40:00,0.366512787,0.451100853
02/11/2013,19:45:00,0.354158282,0.427099323
02/11/2013,19:50:00,0.345381494,0.393299884
02/11/2013,19:55:00,0.379720663,0.36294438
02/11/2013,20:00:00,0.363963315,0.345177676
02/11/2013,20:05:00,0.367558923,0.354737873
02/11/2013,20:10:00,0.377990282,0.385333363
02/11/2013,20:15:00,0.36358954,0.367887
02/11/2013,20:20:00,0.398400833,0.346013853
02/11/2013,20:25:00,0.343609428,0.340353862
02/11/2013,20:30:00,0.395727929,0.338098664
02/11/2013,20:35:00,0.388631627,0.332732424
02/11/2013,20:40:00,0.399390488,0.32785858
